path,segment_start,segment_len,rating_value,confirmation,onset,offset,play_cmd_wall_iso,play_cmd_wall_epoch,q_start_wall_iso,q_start_wall_epoch,response_wall_iso,response_wall_epoch
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\shared\track79.mp3,39.754,30.0,5,yes,5.007121100003133,35.007121100003125,2025-12-12T15:24:52.109-05:00,1765571092.1097355,2025-12-12T15:25:24.109-05:00,1765571124.1090662,2025-12-12T15:25:24.851-05:00,1765571124.8512478
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\shared\track41.mp3,36.965,30.0,5,yes,52.09051190002356,82.09051190002356,2025-12-12T15:25:39.193-05:00,1765571139.1931992,2025-12-12T15:26:11.193-05:00,1765571171.1930091,2025-12-12T15:26:11.622-05:00,1765571171.6223667
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\shared\track49.mp3,30.201,30.0,3,yes,99.17047690000618,129.17047690000618,2025-12-12T15:26:26.272-05:00,1765571186.2723298,2025-12-12T15:26:58.273-05:00,1765571218.2731636,2025-12-12T15:26:58.851-05:00,1765571218.8519022
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\favorite\track17.mp3,97.774,30.0,5,yes,146.25406220002333,176.25406220002333,2025-12-12T15:27:13.355-05:00,1765571233.3558476,2025-12-12T15:27:45.355-05:00,1765571265.355882,2025-12-12T15:27:45.974-05:00,1765571265.974001
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\shared\track63.mp3,11.337,30.0,2,yes,193.33887060001143,223.33887060001143,2025-12-12T15:28:00.441-05:00,1765571280.4414322,2025-12-12T15:28:32.441-05:00,1765571312.4412339,2025-12-12T15:28:32.898-05:00,1765571312.8987787
