subject,episode_id,episode_date,mode,block_id,block_order,song_id,song_dir,song_file,song_relpath,segment_start,segment_len,segment_relpath,is_new,first_seen_episode_id,first_seen_date,first_seen_block_id,first_seen_block_order,played,rating_value,confirmation
00,E10,2025-10-22,fixed-segments,18,1,track78,shared,track78.mp3,shared\track78.mp3,12.859,30.0,shared\track78.mp3,1,E10,2025-10-22,18,1,0,,
00,E10,2025-10-22,fixed-segments,18,2,track21,shared,track21.mp3,shared\track21.mp3,30.776,30.0,shared\track21.mp3,1,E10,2025-10-22,18,2,0,,
00,E10,2025-10-22,fixed-segments,18,3,track5,favorite,track5.mp3,favorite\track5.mp3,36.166,30.0,favorite\track5.mp3,1,E10,2025-10-22,18,3,0,,
00,E10,2025-10-22,fixed-segments,18,4,track72,shared,track72.mp3,shared\track72.mp3,20.886,30.0,shared\track72.mp3,1,E10,2025-10-22,18,4,0,,
00,E10,2025-10-22,fixed-segments,18,5,track9,shared,track9.mp3,shared\track9.mp3,58.654,30.0,shared\track9.mp3,0,E10,2025-10-22,7,1,0,,
