path	start	dur
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\favorite_10_new\track7.mp3	66.721	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track27.mp3	19.705	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\control_lastfm\track5.mp3	36.166	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track2.mp3	76.861	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track24.mp3	84.974	30.0
