path	start	dur
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track30.mp3	43.189	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track26.mp3	48.452	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track20.mp3	51.61	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\control_lastfm\track8.mp3	101.239	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track6.mp3	70.334	30.0
