path	start	dur
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track61.mp3	56.274	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track27.mp3	16.066	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track64.mp3	17.041	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\favorite\track16.mp3	16.565	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\favorite\track10.mp3	10.484	30.0
