subject,episode_id,episode_date,mode,block_id,block_order,song_id,song_dir,song_file,song_relpath,segment_start,segment_len,segment_relpath,is_new,first_seen_episode_id,first_seen_date,first_seen_block_id,first_seen_block_order,played,rating_value,confirmation
00,E10,2025-10-22,fixed-segments,1,1,track70,shared,track70.mp3,shared\track70.mp3,23.993,30.0,shared\track70.mp3,1,E10,2025-10-22,1,1,0,,
00,E10,2025-10-22,fixed-segments,1,2,track28,shared,track28.mp3,shared\track28.mp3,41.304,30.0,shared\track28.mp3,1,E10,2025-10-22,1,2,0,,
00,E10,2025-10-22,fixed-segments,1,3,track54,shared,track54.mp3,shared\track54.mp3,37.096,30.0,shared\track54.mp3,1,E10,2025-10-22,1,3,0,,
00,E10,2025-10-22,fixed-segments,1,4,track51,shared,track51.mp3,shared\track51.mp3,44.104,30.0,shared\track51.mp3,1,E10,2025-10-22,1,4,0,,
00,E10,2025-10-22,fixed-segments,1,5,track41,shared,track41.mp3,shared\track41.mp3,36.965,30.0,shared\track41.mp3,1,E10,2025-10-22,1,5,0,,
