subject,episode_id,episode_date,mode,block_id,block_order,song_id,song_dir,song_file,song_relpath,segment_start,segment_len,segment_relpath,is_new,first_seen_episode_id,first_seen_date,first_seen_block_id,first_seen_block_order,played,rating_value,confirmation
00,E05,2025-10-23,fixed-segments,3,1,track47,shared,track47.mp3,shared\track47.mp3,27.094,30.0,shared\track47.mp3,1,E05,2025-10-23,3,1,0,,
00,E05,2025-10-23,fixed-segments,3,2,track11,shared,track11.mp3,shared\track11.mp3,41.956,30.0,shared\track11.mp3,1,E05,2025-10-23,3,2,0,,
00,E05,2025-10-23,fixed-segments,3,3,track8,favorite,track8.mp3,favorite\track8.mp3,101.239,30.0,favorite\track8.mp3,0,E05,2025-10-23,1,3,0,,
00,E05,2025-10-23,fixed-segments,3,4,track76,shared,track76.mp3,shared\track76.mp3,57.414,30.0,shared\track76.mp3,1,E05,2025-10-23,3,4,0,,
00,E05,2025-10-23,fixed-segments,3,5,track59,shared,track59.mp3,shared\track59.mp3,58.729,30.0,shared\track59.mp3,1,E05,2025-10-23,3,5,0,,
