subject,episode_id,episode_date,mode,block_id,block_order,song_id,song_dir,song_file,song_relpath,segment_start,segment_len,segment_relpath,is_new,first_seen_episode_id,first_seen_date,first_seen_block_id,first_seen_block_order,played,rating_value,confirmation
00,E03,2025-10-22,fixed-segments,1,1,track2,shared,track2.mp3,shared\track2.mp3,51.788,30.0,shared\track2.mp3,1,E03,2025-10-22,1,1,0,,
00,E03,2025-10-22,fixed-segments,1,2,track21,shared,track21.mp3,shared\track21.mp3,30.776,30.0,shared\track21.mp3,1,E03,2025-10-22,1,2,0,,
00,E03,2025-10-22,fixed-segments,1,3,track20,shared,track20.mp3,shared\track20.mp3,36.006,30.0,shared\track20.mp3,1,E03,2025-10-22,1,3,0,,
00,E03,2025-10-22,fixed-segments,1,4,track62,shared,track62.mp3,shared\track62.mp3,19.665,30.0,shared\track62.mp3,1,E03,2025-10-22,1,4,0,,
00,E03,2025-10-22,fixed-segments,1,5,track10,favorite,track10.mp3,favorite\track10.mp3,10.484,30.0,favorite\track10.mp3,0,E03,2025-10-22,14,2,0,,
