path	start	dur
C:\Users\Lucas\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track70.mp3	23.993	30.0
C:\Users\Lucas\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\favorite\track9.mp3	117.039	30.0
C:\Users\Lucas\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track39.mp3	13.326	30.0
C:\Users\Lucas\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track37.mp3	50.665	30.0
C:\Users\Lucas\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\favorite\track16.mp3	16.565	30.0
