TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3
1	1	7	3	1	1	1	2	1	0	0	0	3	1	0	1	0	7	3	1	1	13110103.0	1.0	0.0	[]	3.0041902	4.488364	[]	6.2365303	7.7150135	[]	9.457124	10.948204	3	10.199648	[['3', 10.19964799983427]]	[]	14.433022	15.914577	3	15.092753	[['3', 15.092753800097853]]
2	0	7	3	1	1	0	4	2	1	0	0	4	2	1	0	0	7	3	1	1	3020203.0	1.0	1.0	[]	20.653648	22.139137	[]	23.88094	25.364422	[]	27.114952	28.598549	2	27.670414	[['2', 27.67041470017284]]	[]	32.081924	33.56436	2	32.744385	[['2', 32.74438459984958]]
3	0	1	0	0	1	1	7	3	1	1	0	3	1	0	1	1	1	0	0	1	130110.0	1.0	2.0	[]	38.30551	39.78982	[]	41.53194	43.01435	[]	44.765495	46.24891	3	45.492752	[['3', 45.492752300109714]]	[]	49.732212	51.214497	2	50.792797	[['2', 50.792795800138265]]
4	0	1	0	0	1	1	5	2	1	1	1	4	2	1	0	1	3	1	0	1	121211.0	1.0	3.0	[]	55.95241	57.439762	[]	59.181744	60.66425	[]	62.4079	63.898167	3	64.04232	[['3', 64.04231949988753]]	[]	67.381996	68.86754	3	68.64743	[['3', 68.64743330003694]]
5	0	7	3	1	1	1	2	1	0	0	0	4	2	1	0	1	3	1	0	1	3110211.0	1.0	4.0	[]	73.60285	75.08825	[]	76.83537	78.31909	[]	80.062035	81.54727	3	80.45485	[['3', 80.45485169999301]]	[]	85.03517	86.51797	3	85.66895	[['3', 85.66895230021328]]
6	0	0	0	0	0	0	0	0	0	0	1	7	3	1	1	1	0	0	0	0	1310.0	1.0	5.0	[]	91.251945	92.735565	[]	94.47997	95.964294	[]	97.71001	99.19892	3	98.328545	[['3', 98.32854280015454]]	[]	102.68067	104.166115	3	103.23589	[['3', 103.23589489981532]]
7	1	3	1	0	1	0	4	2	1	0	1	5	2	1	1	0	1	0	0	1	11021200.0	1.0	6.0	[]	108.905975	110.390114	[]	112.12794	113.617714	[]	115.365234	116.848816	3	115.9264	[['3', 115.9263955000788]]	[]	120.32841	121.817665	3	121.022804	[['3', 121.02280669985339]]
