subject,episode_id,episode_date,mode,block_id,block_order,song_id,song_dir,song_file,song_relpath,segment_start,segment_len,segment_relpath,is_new,first_seen_episode_id,first_seen_date,first_seen_block_id,first_seen_block_order,played,rating_value,confirmation
00,E11,2025-10-23,fixed-segments,5,1,track19,favorite,track19.mp3,favorite\track19.mp3,48.1,30.0,favorite\track19.mp3,1,E11,2025-10-23,5,1,0,,
00,E11,2025-10-23,fixed-segments,5,2,track1,shared,track1.mp3,shared\track1.mp3,34.496,30.0,shared\track1.mp3,1,E11,2025-10-23,5,2,0,,
00,E11,2025-10-23,fixed-segments,5,3,track46,shared,track46.mp3,shared\track46.mp3,36.839,30.0,shared\track46.mp3,1,E11,2025-10-23,5,3,0,,
00,E11,2025-10-23,fixed-segments,5,4,track13,shared,track13.mp3,shared\track13.mp3,17.627,30.0,shared\track13.mp3,1,E11,2025-10-23,5,4,0,,
00,E11,2025-10-23,fixed-segments,5,5,track13,favorite,track13.mp3,favorite\track13.mp3,26.779,30.0,favorite\track13.mp3,0,E11,2025-10-23,5,4,0,,
