path	start	dur
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\favorite_10_new\track7.mp3	66.721	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track24.mp3	84.974	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\favorite_10_new\track6.mp3	92.959	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\favorite_10_new\track1.mp3	63.892	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track2.mp3	76.861	30.0
