path,segment_start,segment_len,rating_value,confirmation,onset,offset,play_cmd_wall_iso,play_cmd_wall_epoch,q_start_wall_iso,q_start_wall_epoch,response_wall_iso,response_wall_epoch
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\shared\track70.mp3,23.993,30.0,4,yes,5.0024077000016405,35.00240770000164,2026-03-06T17:19:10.637-05:00,1772835550.6374252,2026-03-06T17:19:42.637-05:00,1772835582.6376576,2026-03-06T17:19:43.074-05:00,1772835583.074726
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\favorite\track9.mp3,117.039,30.0,4,yes,52.075926600002276,82.07592660000226,2026-03-06T17:19:57.710-05:00,1772835597.7108524,2026-03-06T17:20:29.710-05:00,1772835629.7117686,2026-03-06T17:20:32.458-05:00,1772835632.4580598
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\shared\track39.mp3,13.326,30.0,3,yes,99.1558440000008,129.1558440000008,2026-03-06T17:20:44.791-05:00,1772835644.7914863,2026-03-06T17:21:16.790-05:00,1772835676.7909048,2026-03-06T17:21:19.355-05:00,1772835679.3558476
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\shared\track37.mp3,50.665,30.0,4,yes,146.24158220000027,176.24158220000027,2026-03-06T17:21:31.876-05:00,1772835691.8764687,2026-03-06T17:22:03.877-05:00,1772835723.8771803,2026-03-06T17:22:04.741-05:00,1772835724.7414806
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-02\music\favorite\track16.mp3,16.565,30.0,5,yes,193.32456490000186,223.32456490000186,2026-03-06T17:22:18.959-05:00,1772835738.9590466,2026-03-06T17:22:50.960-05:00,1772835770.9600904,2026-03-06T17:22:51.352-05:00,1772835771.352969
