path	start	dur
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\shared_30_new\track23.mp3	14.459	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\favorite_10_new\track5.mp3	36.166	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\control_lastfm\track4.mp3	86.19	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\control_lastfm\track7.mp3	66.721	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-03\music\favorite_10_new\track6.mp3	92.959	30.0
