path	start	dur
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track32.mp3	40.296	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track14.mp3	59.464	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track24.mp3	56.859	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track74.mp3	54.982	30.0
C:\Users\Bashivan Lab\Desktop\NACC\task_stimuli\data\mutemusic\Sub-00\music\shared\track68.mp3	13.189	30.0
