TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3
1	1	7	3	1	1	1	2	1	0	0	0	3	1	0	1	0	7	3	1	1	13110103.0	1.0	0.0	[]	3.0006363	4.4896827	[]	6.235335	7.7174964	[]	9.459366	10.949472	3	10.366114	[['3', 10.366113200085238]]	[]	14.43356	15.9194765	3	15.376493	[['3', 15.376493100076914]]
2	0	7	3	1	1	0	4	2	1	0	0	4	2	1	0	0	7	3	1	1	3020203.0	1.0	1.0	[]	20.65189	22.139154	[]	23.878275	25.36976	[]	27.114408	28.599098	2	27.802425	[['2', 27.802425199886784]]	[]	32.07591	33.568016	2	33.277763	[['2', 33.27776149986312]]
3	0	1	0	0	1	1	7	3	1	1	0	3	1	0	1	1	1	0	0	1	130110.0	1.0	2.0	[]	38.30341	39.784065	[]	41.525913	43.01442	[]	44.76199	46.249313	2	45.654903	[['2', 45.65490399999544]]	[]	49.726315	51.219646	3	50.376442	[['3', 50.37644329993054]]
4	0	0	0	0	0	0	0	0	0	0	1	7	3	1	1	1	0	0	0	0	1310.0	1.0	3.0	[]	55.950848	57.43886	[]	59.18438	60.66805	[]	62.409313	63.89933	3	63.08097	[['3', 63.080970000009984]]	[]	67.38565	68.86782	3	68.356415	[['3', 68.35641580005176]]
5	0	1	0	0	1	1	5	2	1	1	1	4	2	1	0	1	3	1	0	1	121211.0	1.0	4.0	[]	73.60237	75.08928	[]	76.83352	78.31792	[]	80.05966	81.54977	3	81.01965	[['3', 81.01965139992535]]	[]	85.03357	86.51795	2	86.78482	[['2', 86.78481999994256]]
6	1	3	1	0	1	0	4	2	1	0	1	5	2	1	1	0	1	0	0	1	11021200.0	1.0	5.0	[]	91.25139	92.739105	[]	94.47532	95.96795	[]	97.714676	99.19902	2	98.52246	[['2', 98.5224603000097]]	[]	102.68355	104.16434	2	103.5766	[['2', 103.57659809989855]]
7	0	7	3	1	1	1	2	1	0	0	0	4	2	1	0	1	3	1	0	1	3110211.0	1.0	6.0	[]	108.90545	110.384575	[]	112.13068	113.614334	[]	115.36147	116.848335	2	116.25417	[['2', 116.25417009997182]]	[]	120.330795	121.81433	3	122.26089	[['3', 122.26089069992304]]
